Title,Short Intro,Category,Sub-Category,Course Type,Language,Rating,Number of viewers,Site,Skills,Instructors,Duration_Hours
COVID-19 Contact Tracing,"The COVID-19 crisis has created an unprecedented need for contact tracing across the country, requiring thousands of people to learn key skills quickly. The job qualifications for contact tracing positions differ throughout the country and the world, with some new positions open to individuals with a high school diploma or equivalent. ",Health,Public Health,Course,English,4.9,94844.0,Coursera,"Ethics,Active Listening,Public Health,Contact Tracing,Epidemiology,","Emily Gurley, PhD, MPH",6.0
Camino a la Excelencia en Gestión de Proyectos,"El curso “Camino a la excelencia en gestión de proyectos” describe los tres principales componentes de Lean Project Management (Gestión de Proyectos sin Pérdidas), estos son: (1) La filosofía de producción lean, la que proveniente de la industria automotriz japonesa, revisaremos sus principios fundamentales y cómo se ha adaptado a otras industrias. (2) El cambio cultural,  la implementación de lean depende de las personas y veremos qué características son necesarias para la excelencia en gestión de proyectos y qué condiciones contractuales ayudan a generar una mejor cultura. (3) La tecnología, veremos métodos y técnicas lean tales cómo mapeo de la cadena de valor, sistema de planificación el último planificador, entre otros. Finalmente, este curso entrega los conceptos básicos y permite la ejercitación de estos conceptos para caminar hacia la excelencia en gestión de proyectos.",Business,Leadership and Management,Course,Spanish,4.7,6297.0,Coursera,"Lean Project Management,Value Stream Mapping,Lean Manufacturing,Legal Project Management,",Paz Arroyo,7.0
Introduction to Hardware and Operating Systems,"If you’re ready to enter the world of Information Technology (IT), you need job-ready skills. This course provides the core hardware and operating system knowledge needed by anyone new to IT and computer hardware who wants to start a new career in technology, including IT Support, Networking, Cybersecurity, and Software Development. ",Information Technology,Support and Operations,Course,English,4.8,563.0,Coursera,"Technical Support,IT Service Management (ITSM),Troubleshooting,IT Career,",Skills Network,17.0
Introduction to Embedded Systems Software and Development Environments,"Welcome to the Introduction to Embedded Systems Software and Development Environments. This course is focused on giving you real world coding experience and hands on project work with ARM based Microcontrollers. You will learn how to implement software configuration management and develop embedded software applications. Course assignments include creating a build system using the GNU Toolchain GCC, using Git version control, and developing software in Linux on a Virtual Machine. The course concludes with a project where you will create your own build system and firmware that can manipulate memory.",Physical Science and Engineering,Electrical Engineering,Course,English,4.5,569.0,Coursera,"Makefile,C Programming,Embedded C,",Alex Fosdick,9.0
Introduction to Financial Engineering and Risk Management,"Introduction to Financial Engineering and Risk Management course belongs to the Financial Engineering and Risk Management Specialization and it provides a fundamental introduction to fixed income securities, derivatives and the respective pricing models. The first module gives an overview of the prerequisite concepts and rules in probability and optimization. This will prepare learners with the mathematical fundamentals for the course. The second module includes concepts around fixed income securities and their derivative instruments. We will introduce present value (PV) computation on fixed income securities in an arbitrage free setting, followed by a brief discussion on term structure of interest rates. In the third module, learners will engage with swaps and options, and price them using the 1-period Binomial Model. The final module focuses on option pricing in a multi-period setting, using the Binomial and the Black-Scholes Models. Subsequently, the multi-period Binomial Model will be illustrated using American Options, Futures, Forwards and assets with dividends.",Business,Finance,Course,English,4.5,114.0,Coursera,"Derivatives,Swaps and options,Fixed Income,Binomial Distribution,black scholes model,",Garud Iyengar,17.0
English for Business and Entrepreneurship,"Welcome to English for Business and Entrepreneurship, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. ",Language Learning,Learning English,Course,English,4.8,4491.0,Coursera,"Business Plan,Market Research,English Language,Entrepreneurship,",Amy Nichols,31.0
Natural Language Processing with Sequence Models,"In Course 3 of the Natural Language Processing Specialization, you will:",Data Science,Machine Learning,Course,English,4.5,1006.0,Coursera,"Word Embedding,Sentiment with Neural Nets,Siamese Networks,Natural Language Generation,Named-Entity Recognition,",Younes Bensouda Mourri,24.0
Design Thinking for the Greater Good: Innovation in the Social Sector,"Do you work for a nonprofit or in the social sector? Are you struggling to solve the problems and meet the needs of the people you serve? Come learn more about how design thinking, a human-centered approach to problem solving, can help you truly understand an issue, generate ideas worth testing and iterate to find solutions that make a real difference. Through global stories from areas as diverse as government, health care, and education, we’ll show you the tools, techniques and mindset needed to use design thinking to uncover new and creative solutions in the social sector.",Social Sciences,Education,Course,English,4.7,390.0,Coursera,"Prototyping,Problem Solving,User-Centered Design,Design Thinking,Social Issues,",Jeanne M. Liedtka,8.0
What is Compliance?,"Compliance isn’t only about preventing problems and ensuring that everyone is abiding by laws, rules, and regulations.  It’s also about the positive impact a robust and ethical compliance program can have on a business or organization.",Business,Business Essentials,Course,English,4.8,1049.0,Coursera,"Risk Management,Brand Management,Strategic Planning,Compliance,",Andrew Kandel,10.0
Hands-on Introduction to Linux Commands and Shell Scripting,"This course provides a practical introduction to Linux and commonly used Linux / UNIX shell commands.  It teaches you the basics of Bash shell scripting to automate a variety of tasks. The course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. You will have no-charge access to a virtual Linux server that you can access through your web browser, so you don't need to download and install anything to perform the labs.",Computer Science,Software Development,Course,English,4.6,673.0,Coursera,"Shell Script,Bash (Unix Shell),Linux,",Rav Ahuja,12.0
Getting Started with AI using IBM Watson,"In this course you will learn how to quickly and easily get started with Artificial Intelligence using IBM Watson. You will understand how Watson works, become familiar with its use cases and real life client examples, and be introduced to several of Watson AI services from IBM that enable anyone to easily apply AI and build smart apps. You will also work with several Watson services to demonstrate AI in action.",Data Science,Machine Learning,Course,English,4.5,2666.0,Coursera,"Deep Learning,Application Programming Interfaces (API),Artificial Intelligence (AI),Machine Learning,watson,",Rav Ahuja,9.0
Microsoft Power Platform Fundamentals,"In this course, you will learn the business value and product capabilities of Power Platform. You will create simple Power Apps, connect data with Microsoft Dataverse, build a Power BI Dashboard, automate a process with Power Automate, and build a chatbot with Power Virtual Agents.  ",Information Technology,Cloud Computing,Course,English,4.3,53.0,Coursera,"Data Analysis,Business Process,Data Visualization (DataViz),power bi,Chatbot,",Microsoft,25.0
Machine Learning Introduction for Everyone,"This three-module course introduces machine learning and data science for everyone with a foundational understanding of machine learning models. You’ll learn about the history of machine learning, applications of machine learning, the machine learning model lifecycle, and tools for machine learning. You’ll also learn about supervised versus unsupervised learning, classification, regression, evaluating machine learning models, and more. Our labs give you hands-on experience with these machine learning and data science concepts. You will develop concrete machine learning skills as well as create a final project demonstrating your proficiency. ",Data Science,Machine Learning,Course,English,4.5,112.0,Coursera,"Deep Learning,Artificial Intelligence (AI),Machine Learning,Reinforcement Learning,Machine Learning Model Lifecycle,",Aije Egwaikhide,7.0
